bioname,url,website
"HINSON, Ashley",https://www.congress.gov/member/ashley-hinson/H001091,https://hinson.house.gov/
"MILLER-MEEKS, Mariannette",https://www.congress.gov/member/mariannette-miller-meeks/M001215,https://millermeeks.house.gov/
"NUNN, Zach",https://www.congress.gov/member/zachary-nunn/N000193,https://nunn.house.gov/
"ESTES, Ron",https://www.congress.gov/member/ron-estes/E000298,https://estes.house.gov/
"DAVIDS, Sharice",https://www.congress.gov/member/sharice-davids/D000629,https://davids.house.gov/
"MANN, Tracey",https://www.congress.gov/member/tracey-mann/M000871,https://mann.house.gov/
"SCHMIDT, Derek",https://www.congress.gov/member/derek-schmidt/S001228,https://schmidt.house.gov/
"ROGERS, Harold Dallas (Hal)",https://www.congress.gov/member/harold-rogers/R000395,https://halrogers.house.gov/
"GUTHRIE, Brett",https://www.congress.gov/member/brett-guthrie/G000558,https://guthrie.house.gov/
"BARR, Garland H. (Andy) IV",https://www.congress.gov/member/andy-barr/B001282,https://barr.house.gov/
"COMER, James",https://www.congress.gov/member/james-comer/C001108,https://comer.house.gov/
"MCGARVEY, Morgan",https://www.congress.gov/member/morgan-mcgarvey/M001220,https://mcgarvey.house.gov/
"MASSIE, Thomas",https://www.congress.gov/member/thomas-massie/M001184,https://massie.house.gov/
"SCALISE, Steve",https://www.congress.gov/member/steve-scalise/S001176,https://scalise.house.gov/
"HIGGINS, Clay",https://www.congress.gov/member/clay-higgins/H001077,https://clayhiggins.house.gov/
"JOHNSON, Mike",https://www.congress.gov/member/mike-johnson/J000299,https://mikejohnson.house.gov/
"LETLOW, Julia",https://www.congress.gov/member/julia-letlow/L000595,https://letlow.house.gov/
"CARTER, Troy",https://www.congress.gov/member/troy-carter/C001125,https://troycarter.house.gov/
"FIELDS, Cleo",https://www.congress.gov/member/cleo-fields/F000110,https://fields.house.gov/
"PINGREE, Chellie",https://www.congress.gov/member/chellie-pingree/P000597,https://pingree.house.gov/
