bioname,url
"MOOLENAAR, John",https://www.congress.gov/member/john-moolenaar/M001194
"DINGELL, Debbie",https://www.congress.gov/member/debbie-dingell/D000624
"BERGMAN, John",https://www.congress.gov/member/jack-bergman/B001301
"STEVENS, Haley",https://www.congress.gov/member/haley-stevens/S001215
"TLAIB, Rashida",https://www.congress.gov/member/rashida-tlaib/T000481
"MCCLAIN, Lisa C.",https://www.congress.gov/member/lisa-mcclain/M001136
"JAMES, John",https://www.congress.gov/member/john-james/J000307
"SCHOLTEN, Hillary",https://www.congress.gov/member/hillary-scholten/S001221
"THANEDAR, Shri",https://www.congress.gov/member/shri-thanedar/T000488
"BARRETT, Tom",https://www.congress.gov/member/tom-barrett/B001321
"MCDONALD RIVET, Kristen",https://www.congress.gov/member/kristen-mcdonald-rivet/M001237
"McCOLLUM, Betty",https://www.congress.gov/member/betty-mccollum/M001143
"EMMER, Thomas Earl II",https://www.congress.gov/member/tom-emmer/E000294
"CRAIG, Angela",https://www.congress.gov/member/angie-craig/C001119
"OMAR, Ilhan",https://www.congress.gov/member/ilhan-omar/O000173
"STAUBER, Peter",https://www.congress.gov/member/pete-stauber/S001212
"FISCHBACH, Michelle",https://www.congress.gov/member/michelle-fischbach/F000470
"FINSTAD, Brad",https://www.congress.gov/member/brad-finstad/F000475
"MORRISON, Kelly",https://www.congress.gov/member/kelly-morrison/M001234
"KELLY, Trent",https://www.congress.gov/member/trent-kelly/K000388
"GUEST, Michael",https://www.congress.gov/member/michael-guest/G000591
"EZELL, Mike",https://www.congress.gov/member/mike-ezell/E000235
"THOMPSON, Bennie",https://www.congress.gov/member/bennie-thompson/T000193
"GRAVES, Samuel",https://www.congress.gov/member/sam-graves/G000546
"CLEAVER, Emanuel, II",https://www.congress.gov/member/emanuel-cleaver/C001061
"WAGNER, Ann",https://www.congress.gov/member/ann-wagner/W000812
"SMITH, Jason",https://www.congress.gov/member/jason-smith/S001195
"ALFORD, Mark",https://www.congress.gov/member/mark-alford/A000379
"BURLISON, Eric",https://www.congress.gov/member/eric-burlison/B001316
"BELL, Wesley",https://www.congress.gov/member/wesley-bell/B001324
"ONDER, Robert F., Jr.",https://www.congress.gov/member/robert-onder/O000177
"ZINKE, Ryan",https://www.congress.gov/member/ryan-zinke/Z000018
"DOWNING, Troy",https://www.congress.gov/member/troy-downing/D000634
"SMITH, Adrian",https://www.congress.gov/member/adrian-smith/S001172
"BACON, Donald J.",https://www.congress.gov/member/don-bacon/B001298
"FLOOD, Mike",https://www.congress.gov/member/mike-flood/F000474
"TITUS, Alice (Dina)",https://www.congress.gov/member/dina-titus/T000468
"AMODEI, Mark E.",https://www.congress.gov/member/mark-amodei/A000369
"HORSFORD, Steven",https://www.congress.gov/member/steven-horsford/H001066
"LEE, Susie",https://www.congress.gov/member/susie-lee/L000590
"PAPPAS, Chris",https://www.congress.gov/member/chris-pappas/P000614
"GOODLANDER, Maggie",https://www.congress.gov/member/maggie-goodlander/G000604
"SMITH, Christopher Henry",https://www.congress.gov/member/christopher-smith/S000522
"PALLONE, Frank, Jr.",https://www.congress.gov/member/frank-pallone/P000034
"NORCROSS, Donald",https://www.congress.gov/member/donald-norcross/N000188
"WATSON COLEMAN, Bonnie",https://www.congress.gov/member/bonnie-watson-coleman/W000822
"GOTTHEIMER, Josh S.",https://www.congress.gov/member/josh-gottheimer/G000583
"SHERRILL, Mikie",https://www.congress.gov/member/mikie-sherrill/S001207
"KEAN, Thomas",https://www.congress.gov/member/thomas-kean/K000398
"MENENDEZ, Robert",https://www.congress.gov/member/robert-menendez/M001226
"MCIVER, LaMonica",https://www.congress.gov/member/lamonica-mciver/M001229
"CONAWAY, Herbert C., Jr.",https://www.congress.gov/member/herbert-conaway/C001136
"POU, Nellie",https://www.congress.gov/member/nellie-pou/P000621
"VAN DREW, Jefferson",https://www.congress.gov/member/jefferson-van-drew/V000133
"LEGER FERNANDEZ, Teresa",https://www.congress.gov/member/teresa-leger-fernandez/L000273
"STANSBURY, Melanie Ann",https://www.congress.gov/member/melanie-stansbury/S001218
"VASQUEZ, Gabriel",https://www.congress.gov/member/gabe-vasquez/V000136
"CLARKE, Yvette Diane",https://www.congress.gov/member/yvette-clarke/C001067
"TONKO, Paul",https://www.congress.gov/member/paul-tonko/T000469
"MENG, Grace",https://www.congress.gov/member/grace-meng/M001188
"JEFFRIES, Hakeem",https://www.congress.gov/member/hakeem-jeffries/J000294
"STEFANIK, Elise M",https://www.congress.gov/member/elise-stefanik/S001196
"ESPAILLAT, Adriano J.",https://www.congress.gov/member/adriano-espaillat/E000297
"SUOZZI, Thomas",https://www.congress.gov/member/thomas-suozzi/S001201
"TENNEY, Claudia",https://www.congress.gov/member/claudia-tenney/T000478
"MORELLE, Joseph D.",https://www.congress.gov/member/joseph-morelle/M001206
"OCASIO-CORTEZ, Alexandria",https://www.congress.gov/member/alexandria-ocasio-cortez/O000172
"GARBARINO, Andrew R.",https://www.congress.gov/member/andrew-garbarino/G000597
"MALLIOTAKIS, Nicole",https://www.congress.gov/member/nicole-malliotakis/M000317
"TORRES, Ritchie",https://www.congress.gov/member/ritchie-torres/T000486
"RYAN, Patrick",https://www.congress.gov/member/patrick-ryan/R000579
"GOLDMAN, Daniel",https://www.congress.gov/member/daniel-goldman/G000599
"LALOTA, Nicholas",https://www.congress.gov/member/nick-lalota/L000598
"LANGWORTHY, Nick",https://www.congress.gov/member/nicholas-langworthy/L000600
"LAWLER, Michael",https://www.congress.gov/member/michael-lawler/L000599
"KENNEDY, Timothy M.",https://www.congress.gov/member/timothy-kennedy/K000402
"GILLEN, Laura",https://www.congress.gov/member/laura-gillen/G000602
"LATIMER, George",https://www.congress.gov/member/george-latimer/L000606
"MANNION, John W.",https://www.congress.gov/member/john-mannion/M001231
"RILEY, Josh",https://www.congress.gov/member/josh-riley/R000622
"NADLER, Jerrold Lewis",https://www.congress.gov/member/jerrold-nadler/N000002
"VELÁZQUEZ, Nydia M.",https://www.congress.gov/member/nydia-velazquez/V000081
"MEEKS, Gregory W.",https://www.congress.gov/member/gregory-meeks/M001137
"FOXX, Virginia Ann",https://www.congress.gov/member/virginia-foxx/F000450
"HUDSON, Richard",https://www.congress.gov/member/richard-hudson/H001067
"ROUZER, David",https://www.congress.gov/member/david-rouzer/R000603
"ADAMS, Alma",https://www.congress.gov/member/alma-adams/A000370
"MURPHY, Gregory Francis",https://www.congress.gov/member/gregory-murphy/M001210
"ROSS, Deborah K.",https://www.congress.gov/member/deborah-ross/R000305
"DAVIS, Don",https://www.congress.gov/member/donald-davis/D000230
"EDWARDS, Chuck",https://www.congress.gov/member/chuck-edwards/E000246
