Election Type,Name Raw,Office,Party,State Name,County,Precinct,State Fip,CountyFIPS 3,Jurisdiction,Votes
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163CLEA,37,163,CLEA,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163CLNE,37,163,CLNE,6
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163HERR,37,163,HERR,3
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163CLCE,37,163,CLCE,1
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ABSENTEE,37,163,ABSENTEE,5
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163CLEM,37,163,CLEM,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 3,37,163,ONE STOP 3,5
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163WBRK,37,163,WBRK,3
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163INGO,37,163,INGO,0
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163NGRV,37,163,NGRV,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163GIDD,37,163,GIDD,1
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163AUTR,37,163,AUTR,1
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 1,37,163,ONE STOP 1,37
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163TURK,37,163,TURK,6
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 4,37,163,ONE STOP 4,11
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163CLWE,37,163,CLWE,4
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163CLSW,37,163,CLSW,3
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163KEEN,37,163,KEEN,2
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ROSE,37,163,ROSE,6
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163KFRK,37,163,KFRK,4
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163LAKE,37,163,LAKE,8
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163PLVW,37,163,PLVW,4
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163MING,37,163,MING,8
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 5,37,163,ONE STOP 5,18
general,Write-In (Miscellaneous),US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 2,37,163,ONE STOP 2,2
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163SBRG,37,163,SBRG,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163NGRV,37,163,NGRV,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163WBRK,37,163,WBRK,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163CLSW,37,163,CLSW,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163AUTR,37,163,AUTR,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 3,37,163,ONE STOP 3,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163INGO,37,163,INGO,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163TURK,37,163,TURK,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 4,37,163,ONE STOP 4,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 1,37,163,ONE STOP 1,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163CLWE,37,163,CLWE,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163KFRK,37,163,KFRK,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163GIDD,37,163,GIDD,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163KEEN,37,163,KEEN,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163MING,37,163,MING,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163PLVW,37,163,PLVW,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ROSE,37,163,ROSE,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163CLCE,37,163,CLCE,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163CLEM,37,163,CLEM,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163LAKE,37,163,LAKE,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163HERR,37,163,HERR,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ABSENTEE,37,163,ABSENTEE,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163CLEA,37,163,CLEA,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163GARL,37,163,GARL,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163CLNE,37,163,CLNE,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 2,37,163,ONE STOP 2,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ONE STOP 5,37,163,ONE STOP 5,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163ROWA,37,163,ROWA,0
general,Jill Stein,US PRESIDENT,,North Carolina,Sampson,37163HARR,37,163,HARR,0
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163GARL,37,163,GARL,146
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ONE STOP 2,37,163,ONE STOP 2,446
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ONE STOP 5,37,163,ONE STOP 5,816
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163SBRG,37,163,SBRG,109
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163CLCE,37,163,CLCE,197
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163CLEM,37,163,CLEM,124
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ROWA,37,163,ROWA,169
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ONE STOP 1,37,163,ONE STOP 1,4620
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ONE STOP 4,37,163,ONE STOP 4,412
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163GIDD,37,163,GIDD,204
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163HARR,37,163,HARR,369
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ABSENTEE,37,163,ABSENTEE,204
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ONE STOP 3,37,163,ONE STOP 3,382
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163LAKE,37,163,LAKE,361
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163CLWE,37,163,CLWE,164
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163TURK,37,163,TURK,213
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163ROSE,37,163,ROSE,81
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163INGO,37,163,INGO,129
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163HERR,37,163,HERR,36
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163CLNE,37,163,CLNE,131
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163NGRV,37,163,NGRV,99
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163CLEA,37,163,CLEA,332
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163CLSW,37,163,CLSW,100
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163PLVW,37,163,PLVW,71
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163MING,37,163,MING,144
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163WBRK,37,163,WBRK,96
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163KEEN,37,163,KEEN,97
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163KFRK,37,163,KFRK,178
general,Hillary Clinton,US PRESIDENT,DEM,North Carolina,Sampson,37163AUTR,37,163,AUTR,64
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163TURK,37,163,TURK,9
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163GIDD,37,163,GIDD,6
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ONE STOP 3,37,163,ONE STOP 3,25
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163WBRK,37,163,WBRK,13
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163KEEN,37,163,KEEN,6
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163CLWE,37,163,CLWE,9
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163CLSW,37,163,CLSW,8
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163CLEA,37,163,CLEA,10
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163CLNE,37,163,CLNE,19
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163NGRV,37,163,NGRV,10
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163INGO,37,163,INGO,8
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ONE STOP 1,37,163,ONE STOP 1,91
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163CLCE,37,163,CLCE,2
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163AUTR,37,163,AUTR,9
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ONE STOP 4,37,163,ONE STOP 4,24
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163CLEM,37,163,CLEM,4
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163HERR,37,163,HERR,6
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ABSENTEE,37,163,ABSENTEE,20
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163LAKE,37,163,LAKE,7
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163MING,37,163,MING,14
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163PLVW,37,163,PLVW,18
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163KFRK,37,163,KFRK,14
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ROSE,37,163,ROSE,9
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ROWA,37,163,ROWA,6
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163SBRG,37,163,SBRG,5
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ONE STOP 5,37,163,ONE STOP 5,22
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163ONE STOP 2,37,163,ONE STOP 2,7
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163GARL,37,163,GARL,2
general,Gary Johnson,US PRESIDENT,LIB,North Carolina,Sampson,37163HARR,37,163,HARR,10
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163CLSW,37,163,CLSW,187
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163GIDD,37,163,GIDD,179
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163NGRV,37,163,NGRV,263
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163CLCE,37,163,CLCE,31
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163HERR,37,163,HERR,286
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163CLWE,37,163,CLWE,250
general,Donald J. Trump,US PRESIDENT,REP,North Carolina,Sampson,37163INGO,37,163,INGO,158
